# nodes min max
1 0 1
2 11 11
3 1076 1078
3 1078 1078
3 1079 1079
3 1079 1080
3 1080 1081
3 1081 1082
4 1272 1273
4 20574 20574
5 1285 1286
5 1286 1287
5 1287 1288
5 1288 1288
6 1293 1293
6 5591 5591
6 5865 5865
6 17891 17891
6 17891 17891
6 17891 17891
6 17892 17892
6 17893 17893
6 17893 17893
6 17893 17893
6 17893 17893
6 17893 17893
6 17893 17893
7 5864 5865
7 6067 6068
7 7302 7303
7 7807 7807
7 8105 8105
7 9147 9147
7 9147 9148
7 9148 9148
7 9148 9149
7 9149 9149
7 9149 9150
7 9150 9151
7 20318 20319
7 20320 20320
7 20321 20321
7 20323 20323
7 20323 20324
7 20555 20556
7 20556 20556
7 20573 20573
7 30929 30930
7 30934 30934
8 6383 6383
9 6415 6415
9 6416 6416
9 6416 6417
9 6416 6418
9 6416 6419
9 6416 6420
9 6416 6421
10 7284 7285
10 7285 7285
10 24948 24950
10 24950 24950
10 24952 24952
10 24953 24953
10 24957 24957
10 24957 24957
10 24959 24959
10 24959 24959
11 7286 7287
11 7287 7287
11 7287 7287
11 7288 7288
11 7289 7289
11 7290 7290
11 7291 7291
11 7291 7291
11 7291 7291
11 7291 7292
11 7292 7292
11 7292 7292
11 7292 7292
11 7293 7293
11 7293 7293
11 7293 7293
11 7293 7293
11 7293 7293
11 7294 7294
11 7294 7294
11 7295 7295
11 7296 7296
11 7296 7296
11 7296 7296
11 7296 7296
11 7296 7296
11 7296 7296
11 7296 7297
11 7297 7297
11 7297 7297
11 7298 7298
11 7298 7298
11 7299 7299
11 7299 7299
11 7299 7300
11 7300 7300
11 7300 7300
11 7300 7300
11 7300 7300
11 7301 7301
11 7301 7302
11 7302 7302
11 7302 7302
11 7302 7302
11 7302 7302
11 7303 7303
11 7303 7303
11 7304 7304
11 7305 7305
11 7305 7305
11 7305 7305
11 7305 7305
11 7305 7305
11 7305 7306
11 7306 7306
11 7306 7306
11 7306 7306
11 7307 7307
11 7307 7307
11 7307 7307
11 7307 7307
11 7307 7308
11 7308 7308
11 7308 7308
11 7309 7309
11 7309 7309
11 7310 7310
11 7310 7310
11 7310 7310
11 7310 7310
11 7311 7311
11 24951 24951
11 24951 24951
11 24951 24951
11 24953 24953
11 24953 24953
11 24954 24954
11 24954 24954
11 24954 24955
11 24955 24955
11 24955 24955
11 24957 24957
11 24957 24957
11 24957 24958
11 24960 24960
11 24960 24960
11 24960 24960
11 24960 24960
11 24960 24960
11 24960 24960
11 24960 24960
12 7814 7815
12 7816 7816
12 7816 7816
13 7815 7815
13 7815 7815
14 7876 7876
14 7892 7892
14 7893 7893
14 8034 8035
14 8035 8035
14 8097 8097
14 8098 8098
14 8098 8098
14 8099 8099
14 8102 8102
14 8103 8103
15 8030 8030
16 8031 8031
16 8032 8032
16 8032 8032
17 8211 8211
18 8238 8238
19 8272 8272
20 8276 8276
21 8338 8338
22 8338 8339
23 8369 8370
24 8371 8371
25 8417 8418
26 8550 8550
27 8610 8610
28 8648 8648
29 8687 8687
30 8689 8689
31 8731 8731
32 8941 8941
33 9090 9090
34 9090 9090
35 9092 9092
36 9094 9094
37 9095 9095
38 9097 9097
39 9098 9099
40 9099 9099
41 9101 9101
42 9102 9102
43 9103 9103
44 9108 9108
45 9143 9143
46 9276 9277
47 9290 9290
48 9334 9334
49 10440 10442
50 10482 10483
51 15503 15503
52 15522 15522
53 15553 15553
54 15560 15560
55 15593 15594
56 15621 15621
57 15636 15637
58 15687 15687
59 15698 15698
60 15998 15998
61 16144 16144
62 17884 17884
62 17884 17884
62 17884 17884
62 28077 28078
62 28077 28078
62 28078 28078
62 46031 46031
62 46032 46032
62 56337 56337
63 17885 17885
63 17885 17885
63 17885 17885
63 17885 17885
63 17886 17886
63 17887 17887
63 17887 17887
63 17887 17887
63 17888 17888
63 17888 17888
63 17888 17888
63 17889 17889
63 17889 17889
63 17890 17890
63 17890 17890
63 17890 17890
63 17890 17890
63 17890 17890
63 17890 17890
63 17890 17890
63 17890 17890
63 28078 28078
63 28078 28078
63 28079 28079
63 28079 28079
63 28079 28079
63 28079 28079
63 28079 28079
63 28079 28079
63 28079 28079
63 28079 28079
63 28079 28079
63 28079 28079
63 28079 28080
63 46032 46032
63 46032 46032
63 46032 46033
63 46033 46033
63 46033 46033
63 46033 46033
63 46033 46033
63 46033 46033
63 46033 46033
63 46033 46033
63 46033 46033
63 46033 46034
63 46034 46034
63 56337 56337
63 56337 56337
63 56337 56338
63 56338 56338
63 56338 56338
63 56338 56338
63 56338 56338
64 17890 17891
64 17891 17891
65 18101 18101
65 26739 26739
65 26740 26740
66 18149 18149
67 18167 18167
67 26740 26740
67 26740 26740
67 26740 26740
68 18170 18170
68 26741 26741
68 26741 26741
68 26741 26741
69 18170 18170
69 26741 26741
69 26741 26741
70 18176 18176
71 18180 18181
72 18186 18186
73 18191 18191
74 18191 18191
75 18195 18195
76 18197 18197
77 18199 18199
78 18201 18202
79 18204 18204
80 18259 18259
81 18260 18260
82 18485 18486
83 18510 18510
84 19213 19213
85 20574 20574
86 20575 20575
87 20576 20576
88 20578 20578
89 25614 25615
90 26726 26726
91 26758 26758
92 26762 26762
93 26779 26779
94 26781 26781
95 26784 26784
96 26787 26787
97 27819 27819
98 27834 27835
99 27835 27835
100 27835 27835
101 27835 27835
102 27839 27839
103 27843 27843
104 27843 27843
105 27868 27868
106 27874 27874
107 27882 27882
108 27944 27945
109 28991 28991
110 30491 30493
111 30524 30525
112 35930 35930
113 36921 36921
114 36922 36923
115 36925 36925
116 36929 36929
117 36930 36930
118 36936 36936
119 37399 37399
119 43467 43467
120 43411 43411
121 43551 43551
122 43907 43907
123 43938 43938
124 43941 43941
125 43944 43944
126 43946 43946
127 43947 43947
128 43948 43948
129 44113 44114
130 44115 44115
131 45962 45963
132 46370 46370
