# nodes min max
1 0 0
1 7343 7344
1 12788 12788
1 20978 20978
1 32920 32921
2 23 23
2 7345 7346
2 12959 12960
2 26013 26013
2 32450 32450
3 867 868
3 868 868
3 868 869
4 970 971
4 971 971
4 971 972
5 1119 1119
5 1119 1119
5 14507 14507
5 14508 14508
5 14513 14513
5 14513 14513
6 1125 1125
6 1125 1125
6 1126 1126
6 1126 1126
6 1126 1126
6 1127 1127
6 1128 1128
6 1128 1128
6 1128 1128
6 1128 1128
6 1129 1129
6 1130 1130
6 1130 1130
6 1130 1130
6 1131 1131
6 1131 1131
6 1131 1131
6 1131 1132
6 1132 1132
6 1133 1133
6 1133 1133
6 1133 1133
6 1134 1134
6 1134 1134
6 1135 1135
6 1135 1135
6 1135 1136
6 14509 14509
6 14509 14509
6 14509 14509
6 14510 14510
6 14510 14510
6 14511 14511
6 14514 14514
6 14514 14514
6 14514 14515
6 14515 14516
6 14516 14516
6 14516 14516
6 14516 14516
7 1421 1422
7 1516 1516
7 1516 1517
7 1519 1519
7 1519 1519
7 1529 1529
7 1530 1530
7 1540 1540
7 1540 1541
8 1431 1431
8 1436 1436
8 1436 1437
8 1436 1438
8 1436 1439
8 1436 1440
8 1436 1441
9 1469 1470
9 9714 9715
9 11546 11547
9 11547 11547
9 11547 11548
9 22600 22602
9 22602 22602
9 33305 33305
9 33306 33306
10 1470 1470
10 1471 1471
11 1472 1472
11 1472 1473
12 1662 1663
12 1663 1665
12 1664 1666
12 1664 1667
12 1664 1667
13 1697 1697
13 12215 12216
13 22751 22752
13 34935 34935
14 3428 3429
15 3429 3429
16 3517 3518
16 3517 3518
17 3519 3520
17 3519 3520
18 3522 3523
19 6321 6321
19 6321 6322
19 6321 6322
20 6452 6453
20 6453 6453
20 6453 6454
21 6496 6496
22 6552 6554
22 6552 6556
22 6554 6558
22 6556 6560
23 6598 6598
23 6610 6611
23 6796 6797
24 6604 6609
24 6609 6610
24 6609 6610
25 6639 6640
26 6735 6738
26 6735 6740
26 6738 6742
26 6740 6744
27 6768 6768
27 14087 14087
27 21889 21890
27 35367 35367
28 6768 6768
29 6769 6769
30 10002 10002
31 10102 10102
32 11552 11552
32 11553 11553
32 11553 11553
32 11554 11554
32 11554 11554
32 11554 11554
32 11555 11555
32 11555 11556
32 11556 11556
32 11556 11556
32 11557 11557
32 11558 11558
32 11558 11558
32 11558 11559
32 11559 11559
32 11559 11559
32 11559 11559
32 11559 11559
32 22603 22603
32 22603 22603
32 22603 22603
32 22603 22603
32 22603 22603
32 33306 33306
32 33306 33306
32 33306 33306
32 33306 33306
32 33306 33306
32 33307 33307
32 33308 33308
32 33308 33308
32 33308 33308
32 33308 33308
32 33308 33308
32 33308 33308
32 33308 33308
32 33308 33308
33 20155 20155
34 25287 25288
35 26613 26613
36 29214 29214
37 29300 29300
37 29385 29386
37 36617 36618
38 29470 29470
39 29474 29474
40 30251 30251
41 36626 36626
42 37814 37816
