# nodes min max
1 0 0
1 1 1
1 1 1
1 1 1
1 1 2
1 2 2
1 2 2
1 2 2
1 1388 1389
1 1389 1389
1 1389 1389
1 1683 1685
1 1687 1687
1 6409 6410
1 6409 6410
1 6409 6410
1 12577 12578
1 12578 12578
1 12578 12579
1 12578 12579
1 16153 16155
1 16156 16156
1 16156 16156
1 16156 16156
1 21184 21185
1 21184 21185
1 21184 21186
1 25371 25372
1 25371 25372
1 25371 25372
1 33187 33187
1 33188 33188
1 33188 33188
1 33188 33188
1 35154 35155
1 35154 35155
1 35154 35155
1 39310 39310
1 39311 39311
1 39311 39311
1 39311 39311
1 45542 45543
1 45542 45543
1 45542 45543
1 48008 48008
1 48008 48008
1 48008 48008
1 53007 53008
1 53007 53008
1 53007 53008
2 17 18
2 19 20
2 20 21
2 21 21
2 22 22
2 23 23
2 4839 4840
2 4840 4840
2 4841 4842
2 4842 4843
2 4844 4844
2 4845 4845
2 5246 5248
2 7043 7044
2 7044 7044
2 11403 11403
2 11403 11403
2 11403 11404
2 11404 11404
2 19719 19721
2 19721 19722
2 40089 40091
2 44197 44199
2 44212 44212
2 50881 50881
3 1384 1384
3 6408 6410
3 12579 12579
3 21184 21185
3 33188 33188
3 39311 39311
3 45542 45543
3 53007 53008
4 1563 1563
4 1563 1563
4 1564 1564
4 1564 1564
4 1565 1565
4 1565 1566
4 1566 1566
4 1567 1567
4 1567 1567
4 1568 1568
4 1568 1568
4 1569 1569
5 1731 1731
5 1731 1732
5 1731 1732
5 1732 1733
5 1736 1736
5 1736 1736
6 1792 1792
6 1792 1792
6 1792 1792
6 1794 1794
6 1794 1794
6 39308 39308
6 39308 39308
6 39308 39308
6 39311 39312
6 39311 39312
7 1875 1876
7 1876 1876
7 1876 1876
7 1877 1878
7 1890 1890
7 1890 1890
8 1878 1879
8 1879 1879
8 1879 1879
8 1883 1883
8 1890 1890
8 1890 1891
9 1880 1880
9 1881 1881
9 1881 1881
9 1882 1883
9 1889 1889
9 1889 1889
10 1884 1884
10 1885 1885
10 1885 1885
10 1891 1891
10 1891 1891
11 1884 1884
11 1886 1886
11 1886 1886
11 1888 1888
11 1891 1891
11 1891 1891
12 1885 1885
12 1887 1887
12 1887 1887
12 1888 1889
12 1891 1891
12 1891 1891
13 1957 1957
13 1966 1966
13 1966 1966
13 1970 1970
13 1979 1979
13 1979 1979
14 1958 1958
14 1958 1959
14 1958 1959
14 1978 1978
14 1978 1978
15 1960 1960
15 1960 1960
15 1960 1960
15 1961 1962
15 1978 1978
15 1978 1978
16 1961 1961
16 1962 1962
16 1962 1962
16 1962 1963
16 1978 1978
16 1978 1978
17 1963 1963
17 1963 1964
17 1964 1964
17 1978 1978
17 1978 1978
18 1964 1965
18 1965 1965
18 1965 1965
18 1965 1966
18 1978 1978
18 1978 1978
19 1967 1967
19 1967 1967
19 1967 1967
19 1978 1978
19 1978 1978
20 1968 1968
20 1970 1970
20 1970 1970
20 1974 1974
20 1979 1979
20 1979 1979
21 1968 1969
21 1971 1971
21 1971 1971
21 1974 1975
21 1979 1979
21 1979 1979
22 1969 1969
22 1971 1972
22 1971 1972
22 1975 1975
22 1979 1979
22 1979 1979
23 1969 1969
23 1972 1972
23 1972 1972
23 1976 1976
23 1979 1979
23 1979 1979
24 1969 1969
24 1973 1973
24 1973 1973
24 1976 1976
24 1979 1979
24 1979 1979
25 1970 1970
25 1973 1973
25 1973 1973
25 1976 1977
25 1979 1979
25 1979 1980
26 2021 2021
26 2021 2022
26 2022 2023
26 2024 2024
26 2029 2030
27 2024 2025
27 2025 2026
27 2025 2026
27 2031 2031
27 2031 2031
28 2025 2025
28 2026 2027
28 2026 2027
28 2031 2031
28 2031 2031
29 2028 2028
