# nodes min max
1 0 0
2 1632 1632
3 2231 2231
3 2233 2233
3 2233 2234
4 2232 2233
4 2234 2234
4 2234 2235
5 2258 2258
6 2259 2259
6 2260 2260
6 2260 2260
7 2310 2311
8 2840 2841
8 3344 3346
9 4607 4607
9 34630 34630
9 49637 49637
10 5238 5238
10 10251 10251
11 5239 5239
11 10254 10254
12 5248 5248
12 5248 5249
12 5314 5314
12 5314 5314
12 5314 5315
12 5315 5316
12 5316 5316
12 5316 5316
12 5316 5318
12 5318 5318
12 5529 5529
12 5529 5529
12 5530 5530
12 5530 5530
12 5530 5530
12 5531 5531
12 10850 10850
12 10850 10851
12 11730 11730
12 11730 11730
12 11730 11731
12 11731 11731
12 11731 11732
12 11732 11732
12 11732 11732
12 16804 16804
12 16804 16805
12 16805 16805
12 16805 16805
12 16806 16806
12 16806 16806
12 23139 23139
12 23139 23139
12 23140 23140
12 23140 23140
12 23140 23141
12 23141 23141
12 23141 23141
12 27467 27467
12 27468 27468
12 27468 27468
12 27468 27469
12 27469 27469
12 27469 27469
12 46633 46635
12 46635 46635
12 46635 46636
12 46636 46636
12 46636 46636
12 46636 46637
12 46637 46637
13 5251 5252
13 10254 10254
14 5316 5317
14 5316 5318
14 5378 5378
14 12259 12261
14 12259 12263
14 12259 12264
14 12259 12264
14 12266 12266
14 17175 17177
14 17175 17179
14 17182 17182
14 25216 25219
14 25216 25220
14 25222 25222
14 35999 36000
14 35999 36002
14 35999 36004
14 36005 36006
14 46837 46841
14 46838 46843
14 48728 48728
15 5316 5318
15 10254 10254
16 5319 5319
16 5319 5319
16 5319 5320
16 12264 12264
16 12264 12264
16 12264 12265
16 17180 17180
16 17180 17181
16 17180 17181
16 25220 25221
16 25220 25221
16 25220 25221
16 36004 36004
16 36004 36004
16 36004 36005
16 46844 46844
16 46844 46844
16 46844 46845
17 5379 5380
17 5380 5380
17 5380 5380
17 5380 5380
17 5380 5381
17 5585 5586
17 5586 5586
17 10254 10254
17 10254 10254
17 10254 10254
17 15262 15262
17 15263 15263
17 15263 15263
17 15263 15263
18 5589 5590
18 5590 5590
18 5591 5592
18 5612 5612
19 5613 5614
20 5615 5616
20 5616 5616
20 5616 5616
20 5617 5617
20 5619 5619
20 5619 5619
21 5901 5901
21 5902 5902
21 5902 5902
21 5905 5905
21 5905 5905
22 5950 5950
22 5950 5950
22 5951 5951
22 6001 6001
22 6001 6001
23 5951 5952
23 5952 5953
23 5955 5955
23 5998 5998
23 5998 5998
24 5952 5952
24 5953 5953
24 5955 5956
24 5998 5998
24 5998 5998
25 5954 5954
25 5957 5957
25 5998 5998
25 5998 5998
26 5956 5957
26 5958 5959
26 5958 5959
26 5961 5961
26 5998 5998
26 5998 5998
27 5958 5958
27 5959 5960
27 5959 5960
27 5961 5961
27 5998 5998
27 5998 5999
28 5960 5960
28 5962 5962
28 5962 5962
28 5999 5999
28 5999 5999
29 5961 5962
29 5963 5964
29 5966 5967
29 5999 5999
29 5999 5999
30 5962 5962
30 5964 5964
30 5964 5965
30 5967 5967
30 5999 5999
30 5999 5999
31 5963 5963
31 5965 5965
31 5968 5968
31 5999 5999
31 5999 5999
32 5966 5966
32 5969 5969
32 5972 5972
32 5999 5999
32 5999 5999
33 5967 5967
33 5969 5970
33 5972 5973
33 5999 5999
33 5999 5999
34 5968 5968
34 5971 5971
34 5974 5975
34 6000 6000
34 6000 6000
35 5970 5971
35 5974 5974
35 5979 5980
35 6002 6002
35 6002 6002
36 5973 5973
36 5976 5977
36 5976 5977
36 5982 5982
36 6002 6002
36 6002 6002
37 5973 5973
37 5977 5978
37 5978 5978
37 5982 5983
37 6000 6000
37 6000 6000
38 5975 5975
38 5980 5980
38 5980 5980
38 5985 5986
38 6000 6000
38 6000 6000
39 5976 5976
39 5981 5981
39 5981 5981
39 5986 5986
39 6000 6000
39 6000 6000
40 5979 5979
40 5983 5984
40 5990 5990
40 6000 6000
40 6000 6000
41 5980 5980
41 5985 5985
41 5991 5991
41 6000 6001
41 6001 6001
42 5983 5983
42 5989 5989
42 5989 5989
42 5994 5995
42 6001 6001
42 6001 6001
43 5987 5987
43 5992 5992
43 5992 5992
43 5995 5995
43 6001 6001
43 6001 6001
44 5987 5988
44 5992 5993
44 5995 5995
44 6001 6001
44 6001 6001
45 5988 5988
45 5993 5994
45 5995 5996
45 6001 6002
45 6002 6002
46 6597 6598
46 6598 6598
46 6599 6599
46 6599 6599
47 7364 7367
47 7373 7375
47 8173 8174
47 8174 8174
47 8448 8449
47 8450 8451
47 13934 13934
47 23547 23547
47 35829 35830
48 7375 7375
48 13935 13935
48 35830 35830
49 7618 7622
49 7622 7624
49 7622 7624
49 7658 7658
49 7658 7658
50 7625 7629
50 7631 7632
50 7631 7634
50 7658 7658
50 7658 7658
51 7629 7631
51 7638 7641
51 7638 7641
51 7658 7658
51 7658 7658
52 7642 7644
52 7644 7647
52 7647 7653
52 7653 7657
52 7658 7658
53 7940 7941
53 7942 7942
53 11166 11166
53 11166 11166
53 11701 11701
53 11703 11703
53 12266 12267
53 12267 12267
53 13372 13372
53 13373 13373
53 13899 13900
53 13900 13900
53 13900 13901
53 13902 13902
53 13902 13903
53 13903 13903
53 13903 13903
53 16773 16773
53 16773 16774
