# nodes min max
1 0 0
1 0 0
1 0 0
1 1 1
1 1 1
1 2182 2183
1 2183 2183
1 2183 2183
1 2184 2184
1 2184 2184
1 2184 2185
1 2185 2185
1 2185 2186
1 2187 2187
1 2187 2188
1 2188 2188
1 2376 2376
1 2377 2377
1 2378 2378
1 2378 2378
2 5 5
3 305 305
4 309 309
4 14153 14154
4 14191 14191
4 14192 14192
4 14945 14945
4 31419 31420
4 31422 31422
4 31443 31444
4 31444 31444
4 31500 31500
4 31867 31867
4 50488 50489
4 69908 69910
5 577 577
5 577 577
6 578 578
6 6528 6528
6 6528 6528
6 6528 6529
6 6529 6529
6 6817 6817
7 578 579
7 579 579
7 579 579
7 580 580
7 580 580
7 580 581
7 581 581
7 581 582
7 582 582
7 582 582
7 582 583
7 583 583
7 583 583
7 583 584
7 584 584
7 584 584
7 584 584
7 585 585
7 585 585
7 585 585
7 586 586
7 586 586
7 6529 6529
7 6529 6530
7 6530 6530
7 6530 6531
7 6531 6531
7 6531 6532
7 6532 6532
7 6532 6532
7 6532 6533
7 6533 6533
7 6533 6534
7 6534 6534
7 6534 6534
7 6534 6535
7 6535 6535
7 6535 6536
7 6536 6536
7 6536 6536
7 6536 6537
7 6537 6537
7 6537 6537
7 6538 6538
7 6538 6538
7 6538 6539
7 6539 6539
7 6539 6539
7 6539 6540
7 6540 6540
7 6540 6540
7 6540 6541
7 6541 6541
7 6541 6541
7 6541 6542
7 6542 6542
7 6542 6542
7 6545 6545
7 6545 6545
7 6546 6546
7 6546 6546
7 6546 6547
7 6547 6547
7 6547 6548
7 6548 6548
7 6548 6548
7 6548 6549
7 6549 6549
7 6549 6550
7 6550 6550
7 6550 6551
7 6551 6551
7 6551 6551
7 6551 6552
7 6552 6552
7 6552 6552
7 6552 6553
7 6553 6553
7 6553 6554
7 6554 6554
7 6554 6554
7 6556 6556
7 6556 6557
7 6557 6557
7 6557 6558
7 6558 6558
7 6558 6558
7 6558 6558
7 6558 6559
7 6559 6559
7 6559 6560
7 6560 6560
7 6560 6560
7 6560 6561
7 6561 6561
7 6561 6561
7 6561 6562
7 6562 6562
7 6562 6562
7 6562 6563
7 6563 6563
7 6563 6564
7 6564 6564
7 6564 6564
7 6564 6565
7 6565 6565
7 6578 6579
7 6579 6579
7 6579 6580
7 6580 6580
7 6580 6581
7 6581 6581
7 6581 6581
7 6581 6582
7 6582 6582
7 6582 6582
7 6583 6583
7 6583 6583
7 6584 6584
7 6817 6818
7 6818 6818
7 6818 6819
7 6819 6819
7 6819 6819
7 6820 6820
7 6820 6820
7 6820 6821
7 6821 6821
7 6821 6822
7 6822 6822
7 6822 6822
7 6823 6823
7 6823 6823
7 6823 6824
7 6824 6824
7 6824 6824
7 6824 6825
7 6825 6825
7 6825 6826
7 6826 6826
7 6848 6849
7 6849 6849
7 6849 6850
7 6850 6850
7 6850 6850
7 6850 6851
7 6851 6851
7 6851 6852
7 6852 6852
7 6852 6853
7 6853 6853
7 6853 6853
7 6853 6854
7 7218 7218
7 7218 7219
7 7219 7219
7 7219 7219
7 7219 7220
7 7220 7220
7 7220 7221
7 7221 7221
7 7221 7221
7 7222 7222
7 7222 7222
7 7273 7273
7 7273 7274
7 7274 7274
7 7274 7275
7 7275 7275
7 7275 7275
7 7275 7276
8 586 587
8 587 587
8 587 587
8 587 588
8 588 588
8 588 588
8 6542 6543
8 6543 6543
8 6543 6543
8 6543 6544
8 6544 6544
8 6544 6544
8 6554 6555
8 6555 6555
8 6555 6555
8 6555 6555
8 6556 6556
8 6565 6565
8 6584 6584
8 6584 6584
8 6826 6826
8 6826 6826
8 6827 6827
8 7222 7223
8 7223 7223
8 7276 7276
9 1086 1086
9 1166 1166
9 1167 1167
9 1167 1167
9 1312 1312
9 1312 1313
10 1312 1312
11 1984 1984
12 1984 1984
12 78738 78738
12 78738 78738
13 1988 1988
13 16014 16014
13 27523 27525
13 35523 35524
13 56317 56317
13 78712 78713
13 78713 78713
14 2187 2187
15 3619 3620
16 4986 4987
16 21820 21821
16 37193 37193
16 68773 68775
17 4987 4987
17 21821 21822
17 37194 37194
17 68776 68776
18 4988 4988
18 21822 21822
18 37194 37195
18 68777 68777
19 4989 4989
19 21823 21823
19 37195 37195
19 68777 68778
20 4990 4990
20 21823 21824
20 37195 37196
20 68778 68778
21 4991 4991
21 21824 21825
21 37196 37196
21 68779 68779
22 6476 6477
22 6480 6480
22 6483 6483
22 6487 6487
22 6490 6491
22 6494 6494
22 6497 6497
22 6499 6499
22 6502 6502
22 6505 6505
22 6509 6509
22 6514 6514
22 6517 6517
23 6477 6477
23 6477 6478
24 6478 6478
24 6485 6485
25 6481 6481
25 6481 6481
26 6483 6484
26 6484 6484
27 6488 6488
27 6488 6488
28 6491 6491
28 6491 6491
29 6494 6495
29 6495 6495
30 6495 6496
31 6499 6500
31 6500 6500
32 6502 6502
32 6502 6503
33 6506 6506
34 6510 6510
34 6510 6510
35 6514 6514
36 6519 6519
37 6520 6520
38 11394 11394
39 13081 13083
40 29998 30000
40 60368 60370
41 40601 40602
42 78682 78682
43 78748 78748
43 78748 78748
44 80414 80414
44 80585 80586
