# nodes min max
1 0 0
2 14 14
3 54 54
4 55 56
5 57 57
6 58 58
7 59 59
8 60 60
9 61 61
10 61 62
11 62 63
12 63 64
13 64 64
14 65 65
15 66 66
16 67 67
17 68 68
18 149 149
18 4666 4666
18 4669 4669
18 4671 4671
18 4673 4673
18 4674 4674
18 4676 4676
18 4678 4678
18 4678 4679
18 4680 4680
18 4682 4682
18 4683 4683
18 4685 4685
18 4686 4686
19 732 732
19 772 772
19 813 813
19 1019 1020
19 1064 1064
19 1064 1065
19 2635 2635
19 2635 2635
20 750 750
21 752 752
22 1065 1065
23 1473 1473
24 2057 2057
24 9918 9920
25 2550 2550
25 2550 2550
25 2550 2550
25 2551 2551
26 2553 2554
26 2594 2595
26 2635 2635
27 4145 4145
28 4667 4667
28 4667 4668
29 4668 4668
29 4672 4672
30 4669 4670
30 4670 4670
31 4671 4671
31 4672 4672
32 4673 4673
32 4674 4674
33 4675 4675
33 4675 4675
34 4676 4676
34 4677 4677
35 4677 4677
36 4679 4679
36 4679 4679
37 4680 4681
37 4681 4681
38 4682 4682
39 4683 4684
39 4684 4684
40 4685 4685
41 4687 4687
42 4687 4688
43 4894 4894
43 20949 20950
43 29623 29625
43 38459 38461
44 4894 4895
44 20950 20950
44 29625 29626
44 38461 38462
45 4895 4895
45 20950 20951
45 29626 29626
45 38462 38463
46 4896 4896
46 20951 20951
46 29627 29627
46 38463 38464
47 4897 4897
47 20951 20952
47 29627 29627
47 38464 38464
48 4898 4898
48 20952 20953
48 29628 29628
48 38465 38465
49 5145 5146
50 6077 6077
51 6126 6126
52 9922 9922
53 10145 10145
54 11044 11046
54 47212 47212
54 47212 47212
54 47212 47213
55 11067 11068
55 11068 11068
55 47226 47226
56 12792 12792
57 14325 14326
58 29994 29996
59 47213 47213
59 47213 47213
60 50270 50272
60 50272 50272
