STIME          TIME             UID   PID D    BLOCK   SIZE       COMM PATHNAME
453168301853   453168303738     501 25888 W 33576649 212992 Google_Chrome ??/Default/.com.google.Chrome.vrMiO7
453168313574   453168313844     501 25888 W 33576701  45056 Google_Chrome ??/Chrome/.com.google.Chrome.jVQcza
453169378399   453169380105     501 25888 R 47779698   4096 Google_Chrome ??/Resources/icudtl.dat
453169380270   453169380776     501 25888 R 47779738   8192 Google_Chrome ??/Resources/icudtl.dat
453169380944   453169381563     501 25888 R 47779875  36864 Google_Chrome ??/Resources/icudtl.dat
453169381728   453169382279     501 25888 R 47779996  20480 Google_Chrome ??/Resources/icudtl.dat
453169382450   453169383003     501 25888 R 47779965  28672 Google_Chrome ??/Resources/icudtl.dat
453169383183   453169383895     501 25888 R 47779677  73728 Google_Chrome ??/Resources/icudtl.dat
453169574424   453169574977     501 25888 R 21225097  57344 Google_Chrome ??/dyld/dyld_shared_cache_x86_64
453169587763   453169588342     501 25888 R 41758645  36864 Google_Chrome ??/Fonts/PingFang.ttc
453169588581   453169589138     501 25888 R 41758660  40960 Google_Chrome ??/Fonts/PingFang.ttc
453169589304   453169589873     501 25888 R 41758675  53248 Google_Chrome ??/Fonts/PingFang.ttc
453169589964   453169590522     501 25888 R 41758878  53248 Google_Chrome ??/Fonts/PingFang.ttc
453169595396   453169595651     501 25888 R 49593181   4096 Google_Chrome ??/Default/Favicons
453173893037   453173893574     501 25888 R 27169902   4096 Google_Chrome ??/Default/Favicons
453174166691   453174167016     501 25888 R 47659597   8192 Google_Chrome ??/A/Google_Chrome_Framework
453174167484   453174167729     501 25888 R 26153617   4096 Google_Chrome ??/Default/Favicons
453174369684   453174369890     501 25888 R 47664434   4096 Google_Chrome ??/A/Google_Chrome_Framework
453174685402   453174685643     501 25888 R 49302094   4096 Google_Chrome ??/js/eaa7631c1bb1ceec_0
453174717287   453174717530     501 25888 R 26466878   4096 Google_Chrome ??/js/a229784d70cdadfb_0
453174718328   453174718586     501 25888 R 25528891   4096 Google_Chrome ??/js/a229784d70cdadfb_0
453174718364   453174719381     501 25888 R 26466317 258048 Google_Chrome ??/js/a229784d70cdadfb_0
453174718459   453174720759     501 25888 R 26466380 524288 Google_Chrome ??/js/a229784d70cdadfb_0
453174718568   453174721744     501 25888 R 26466508 524288 Google_Chrome ??/js/a229784d70cdadfb_0
453174718668   453174722850     501 25888 R 26466636 524288 Google_Chrome ??/js/a229784d70cdadfb_0
453174718765   453174723671     501 25888 R 26466764 466944 Google_Chrome ??/js/a229784d70cdadfb_0
453175586783   453175587383     501 25888 W 33576770  61440 Google_Chrome ??/Default/Network_Action_Predictor-journal
453175587712   453175587846     501 25888 W 33576770   4096 Google_Chrome ??/Default/Network_Action_Predictor-journal
453175588640   453175588869     501 25888 R 30455517   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175589026   453175589264     501 25888 R 30455547   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175589483   453175589741     501 25888 R 30455578   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175590240   453175590491     501 25888 R 48964058   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175591021   453175591234     501 25888 R 30455811   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175592514   453175592767     501 25888 R 30457606   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175593330   453175593446     501 25888 W 30455366   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175593411   453175593591     501 25888 W 30455369   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175593579   453175593749     501 25888 W 30455377   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175593710   453175593888     501 25888 W 30455378   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175593881   453175594023     501 25888 W 30455388   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175594004   453175594149     501 25888 W 30455396   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175594136   453175594276     501 25888 W 30455400   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175595074   453175595171     501 25888 W 48958603   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175595151   453175595301     501 25888 W 30455412   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175595283   453175595452     501 25888 W 30455414   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175595405   453175595560     501 25888 W 30455416   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175595468   453175595595     501 25888 W 30455448   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175596266   453175596360     501 25888 W 48962320   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175596331   453175596414     501 25888 W 48959744   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175597175   453175597275     501 25888 W 48976591   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175598054   453175598157     501 25888 W 18950527   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175598138   453175598292     501 25888 W 30455480   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175598264   453175598420     501 25888 W 30455489   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175598405   453175598537     501 25888 W 48981945   4096 Google_Chrome ??/Default/Network_Action_Predictor
453175598517   453175598669     501 25888 W 57820790   4096 Google_Chrome ??/Default/Network_Action_Predictor
