STIME          TIME             UID   PID D    BLOCK   SIZE       COMM PATHNAME
513355131798   513355131949     501 28498 W 51982104   4096 Google_Chrome ??/js/c9229e994e0fb5bb_0
513355132499   513355132618     501 28498 W 51982104   4096 Google_Chrome ??/js/c9229e994e0fb5bb_0
513355132659   513355132730     501 28498 W 18946926   4096 Google_Chrome ??/js/c9229e994e0fb5bb_0
513355326735   513355326862     501 28498 W 51982236   4096 Google_Chrome ??/js/d17efd78acf81587_0
513355327271   513355327356     501 28498 W 51982236   4096 Google_Chrome ??/js/d17efd78acf81587_0
513355327347   513355327810     501 28498 W 51983866 163840 Google_Chrome ??/js/d17efd78acf81587_0
513355578128   513355578262     501 28498 W 51982238   4096 Google_Chrome ??/js/0424022d381ebddb_0
513355579538   513355579671     501 28498 W 51982238   4096 Google_Chrome ??/js/0424022d381ebddb_0
513355579690   513355581534     501 28498 W 51983988 835584 Google_Chrome ??/js/0424022d381ebddb_0
513355604808   513355604954     501 28498 W 51982242   4096 Google_Chrome ??/js/9cf42e1e9c0d8388_0
513355606418   513355606571     501 28498 W 51982242   4096 Google_Chrome ??/js/9cf42e1e9c0d8388_0
513355606604   513355606699     501 28498 W 18947259   4096 Google_Chrome ??/js/9cf42e1e9c0d8388_0
513355637245   513355637419     501 28498 W 51982254   4096 Google_Chrome ??/js/a7b95a6960d40e2b_0
513355638086   513355638293     501 28498 W 51982254   4096 Google_Chrome ??/js/a7b95a6960d40e2b_0
513355638231   513355638499     501 28498 W 51984193  45056 Google_Chrome ??/js/a7b95a6960d40e2b_0
513355646489   513355646631     501 28498 W 51982247   4096 Google_Chrome ??/js/4e083151cdce81ab_0
513355647236   513355647362     501 28498 W 51982247   4096 Google_Chrome ??/js/4e083151cdce81ab_0
513355943943   513355944097     501 28498 W 51984213   4096 Google_Chrome ??/js/d3091cd8b68926a1_0
513355967747   513355967837     501 28498 W 51984213   4096 Google_Chrome ??/js/d3091cd8b68926a1_0
513355968323   513355968418     501 28498 W 51984213   4096 Google_Chrome ??/js/d3091cd8b68926a1_0
513356350646   513356351178     501 28498 R 49588958   4096 Google_Chrome ??/BrowserMetrics/BrowserMetrics-5CC1AC15-6F52.pma
513362440213   513362440855     501 28498 W 52039674 229376 Google_Chrome ??/Default/.com.google.Chrome.3qkosp
513364719966   513364721364     501 28498 W 52040815  69632 Google_Chrome ??/Chrome/.com.google.Chrome.oduhx6
513365143465   513365144757     501 28498 W 52040832  28672 Google_Chrome ??/Default/History-journal
513365144930   513365145062     501 28498 W 52040832   4096 Google_Chrome ??/Default/History-journal
513365145285   513365145415     501 28498 W 38450515   4096 Google_Chrome ??/Default/History
513365145349   513365145497     501 28498 W 38450542   4096 Google_Chrome ??/Default/History
513365145407   513365145558     501 28498 W 38450558   4096 Google_Chrome ??/Default/History
513365145529   513365145695     501 28498 W 38450584  12288 Google_Chrome ??/Default/History
513371302321   513371302585     501 28498 R 51983407   4096 Google_Chrome ??/Default/Current_Session
513375849624   513375849992     501 28498 W 52041474  69632 Google_Chrome ??/Chrome/.com.google.Chrome.C7GzK5
513375971395   513375972288     501 28498 W 52041646 348160 Google_Chrome ??/index-dir/the-real-index
513378807531   513378808190     501 28498 W 52042676 229376 Google_Chrome ??/Default/.com.google.Chrome.xmkhPP
513385050802   513385051220     501 28498 W 24453655   8192 Google_Chrome ??/Default/Network_Action_Predictor-journal
513385051651   513385051883     501 28498 W 24453655   4096 Google_Chrome ??/Default/Network_Action_Predictor-journal
513385052255   513385052381     501 28498 W 30455366   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385052354   513385052514     501 28498 W 30455386   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385052557   513385052663     501 28498 W 18961389   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385052682   513385052783     501 28498 W 48976606   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385054875   513385055208     501 28498 W 24453657   8192 Google_Chrome ??/Default/Network_Action_Predictor-journal
513385055738   513385055827     501 28498 W 24453657   4096 Google_Chrome ??/Default/Network_Action_Predictor-journal
513385056094   513385056267     501 28498 W 30455366   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385056253   513385056404     501 28498 W 30457597   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385056393   513385056952     501 28498 W 30455409   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385056582   513385056997     501 28498 W 30455705   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385056661   513385057038     501 28498 W 18966687   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385056736   513385057070     501 28498 W 48972341   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385056840   513385057262     501 28498 W 48969648   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385056905   513385057333     501 28498 W 48969163   4096 Google_Chrome ??/Default/Network_Action_Predictor
513385739638   513385739898     501 28498 R 51983407   4096 Google_Chrome ??/Default/Current_Session
513386149187   513386149761     501 28498 R 18952929   4096 Google_Chrome ??/Default/QuotaManager-journal
513386149915   513386150006     501 28498 W 18952929   4096 Google_Chrome ??/Default/QuotaManager-journal
513386150333   513386150451     501 28498 W 18952929   4096 Google_Chrome ??/Default/QuotaManager-journal
513386150566   513386150681     501 28498 W 30457528   4096 Google_Chrome ??/Default/QuotaManager
513386150608   513386150721     501 28498 W 30457529   4096 Google_Chrome ??/Default/QuotaManager
513386150646   513386150803     501 28498 W 48976495   4096 Google_Chrome ??/Default/QuotaManager
513386510880   513386511112     501 28498 R 47860444   4096 Google_Chrome ??/GCM_Store/000003.log
513386511231   513386511314     501 28498 W 47860444   4096 Google_Chrome ??/GCM_Store/000003.log
513386937717   513386939252     501 28498 R 51982664   4096 Google_Chrome ??/LevelDB/000896.log
513391814880   513391815320     501 28498 W 52043710 135168 Google_Chrome ??/Sync_Data/SyncData.sqlite3-journal
513391815596   513391815677     501 28498 W 52043710   4096 Google_Chrome ??/Sync_Data/SyncData.sqlite3-journal
513391815861   513391816018     501 28498 W 50920687  32768 Google_Chrome ??/Sync_Data/SyncData.sqlite3
513391815928   513391816171     501 28498 W 50920695  65536 Google_Chrome ??/Sync_Data/SyncData.sqlite3
513391815972   513391816256     501 28498 W 50920725  32768 Google_Chrome ??/Sync_Data/SyncData.sqlite3
513393242231   513393242664     501 28498 W 52043751  69632 Google_Chrome ??/Chrome/.com.google.Chrome.KjzWjr
513396521860   513396522740     501 28498 W 52043842 229376 Google_Chrome ??/Default/.com.google.Chrome.nU9lgn
513397013304   513397013765     501 28498 R 32510798   4096 Google_Chrome ??/Default/History-journal
513397013940   513397014110     501 28498 W 32510798   4096 Google_Chrome ??/Default/History-journal
513397014288   513397014521     501 28498 W 46753869   8192 Google_Chrome ??/Default/History
513401844698   513401844810     501 28498 W 52044657   4096 Google_Chrome ??/Reports/.dat.nosync6f52.WK9rgA
513402082359   513402082715     501 28498 R 51983408   4096 Google_Chrome ??/Default/Current_Session
513402225264   513402227079     501 28498 R 32506617  12288 Google_Chrome ??/Contents/Info.plist
513404932200   513404932437     501 28498 R 12796962   4096 Google_Chrome ??/nenlahapcbofgnanklpelkaejcehkggg/000003.log
513409586106   513409586460     501 28498 W 52044939  69632 Google_Chrome ??/Chrome/.com.google.Chrome.fjrXXh


