STIME          TIME             UID   PID D    BLOCK   SIZE       COMM PATHNAME
447628990794   447628990924     501 16073 W 32635912   4096    firefox ??/z05qnvsv.default/xulstore.json
447630623235   447630623544     501 16073 R 32164965   4096    firefox ??/z05qnvsv.default/content-prefs.sqlite
447631222099   447631222543     501 16073 R 32634273  12288    firefox ??/entries/08931445682C49A9B725AD42972CC66635A98DEF
447631223326   447631223918     501 16073 R 32167309  28672    firefox ??/entries/7E3372B92F38A41166267F259D86E8DFF18D8942
447631224547   447631224753     501 16073 W 32634275   4096    firefox ??/entries/08931445682C49A9B725AD42972CC66635A98DEF
447631224700   447631224905     501 16073 W 32516496  12288    firefox ??/entries/08931445682C49A9B725AD42972CC66635A98DEF
447631225167   447631225304     501 16073 W 32167315   4096    firefox ??/entries/7E3372B92F38A41166267F259D86E8DFF18D8942
447631225228   447631225811     501 16073 W 32514027  12288    firefox ??/entries/7E3372B92F38A41166267F259D86E8DFF18D8942
447631248948   447631249121     501 16073 W 32635982   8192    firefox ??/entries/C0FDE625B82C1D30E03A4E0486AC0DD6B9AA7047
447631250034   447631250567     501 16073 R 32167321  40960    firefox ??/entries/9D281ED0BF0A8B40AE704DC4A402A8EADB67964E
447631251471   447631251603     501 16073 W 32167330   4096    firefox ??/entries/9D281ED0BF0A8B40AE704DC4A402A8EADB67964E
447631251550   447631251670     501 16073 W 25248303   8192    firefox ??/entries/9D281ED0BF0A8B40AE704DC4A402A8EADB67964E
447631301663   447631301799     501 16073 W 32635984   8192    firefox ??/entries/3158465BED54DA4097BBA1E1898D08BAFE5AE023
447631831638   447631832096     501 16073 W 32516502  12288    firefox ??/z05qnvsv.default/prefs-1.js
447632335230   447632336824     501 16073 W 32516505  12288    firefox ??/z05qnvsv.default/prefs-1.js
447633597875   447633598054     501 16073 W 32636004   8192    firefox ??/sessionstore-backups/recovery.jsonlz4.tmp
447634229369   447634229596     501 16073 R 32173648   4096    firefox ??/entries/EAD6D9150DB12C1D7AE67445110C51A13263B1EE
447634229880   447634230176     501 16073 R 32173667   4096    firefox ??/entries/AD6671C7659E2E74740A30B35F8EB70E7CF2229B
447634239097   447634239412     501 16073 R 32174193   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634239544   447634239819     501 16073 R 32174201   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634242475   447634242894     501 16073 R 32173649   4096    firefox ??/entries/BB0D63B02561A3C5255BD980E77E88A14D87DCFF
447634304796   447634305085     501 16073 R 32174209   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634305237   447634305493     501 16073 R 32174217   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634305669   447634305887     501 16073 R 32174225   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634306598   447634307003     501 16073 R 32174226  36864    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634306838   447634307104     501 16073 R 32167498   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634307241   447634307502     501 16073 R 32167507   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634307189   447634308752     501 16073 W 32163019 626688    firefox ??/z05qnvsv.default/places.sqlite-wal
447634307254   447634308943     501 16073 W 32172435  98304    firefox ??/z05qnvsv.default/places.sqlite-wal
447634307678   447634309061     501 16073 R 32167515   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634307684   447634309066     501 16073 R 32173650   4096    firefox ??/entries/ECBC4481AECD958D6D6A764D46E46EE8769F68ED
447634309332   447634309648     501 16073 R 32167523   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634310254   447634310658     501 16073 W 32163347  32768    firefox ??/z05qnvsv.default/places.sqlite
447634310470   447634310740     501 16073 W 32163619  32768    firefox ??/z05qnvsv.default/places.sqlite
447634310403   447634311449     501 16073 W 32163363 393216    firefox ??/z05qnvsv.default/places.sqlite
447634369453   447634369676     501 16073 W 32162643   4096    firefox ??/z05qnvsv.default/places.sqlite-wal
447634370646   447634370886     501 16073 R 32173655   4096    firefox ??/entries/7325440CFE56A25FCCEA9AB3915F99C8F48C8D29
447634370993   447634371231     501 16073 R 32172708   4096    firefox ??/entries/7325440CFE56A25FCCEA9AB3915F99C8F48C8D29
447634371026   447634371253     501 16073 R 18952546   4096    firefox ??/entries/7325440CFE56A25FCCEA9AB3915F99C8F48C8D29
447634371058   447634371367     501 16073 R 32173651  16384    firefox ??/entries/7325440CFE56A25FCCEA9AB3915F99C8F48C8D29
447634371686   447634372169     501 16073 R 32172691  69632    firefox ??/entries/7325440CFE56A25FCCEA9AB3915F99C8F48C8D29
447634520146   447634520364     501 16073 R 32167531   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634520490   447634520689     501 16073 R 32167539   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634520797   447634521003     501 16073 R 32167547   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634521193   447634521393     501 16073 R 32167555   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634521493   447634521691     501 16073 R 32167563   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634521816   447634522056     501 16073 R 32167571   4096    firefox ??/z05qnvsv.default/cookies.sqlite-wal
447634576697   447634577021     501 16073 W 32636024  73728    firefox ??/entries/7325440CFE56A25FCCEA9AB3915F99C8F48C8D29
447634576854   447634577262     501 16073 W 18956709   4096    firefox ??/entries/7325440CFE56A25FCCEA9AB3915F99C8F48C8D29
447634580364   447634580866     501 16073 R 32172770   8192    firefox ??/entries/469728A59925BE14CFA2152CB1429A8B827F29E8
447634581086   447634581267     501 16073 R 32172769   4096    firefox ??/entries/469728A59925BE14CFA2152CB1429A8B827F29E8
447634581880   447634582888     501 16073 R 32172711 237568    firefox ??/entries/469728A59925BE14CFA2152CB1429A8B827F29E8
447634603201   447634603582     501 16073 W 32172769  12288    firefox ??/entries/469728A59925BE14CFA2152CB1429A8B827F29E8
447634604609   447634604800     501 16073 W 32636042   8192    firefox ??/entries/ABACDA8FF0FA5B7B7E4E608FB18ED51EE19228C6
447634606471   447634606866     501 16073 R 32505992   8192    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
447634607106   447634607196     501 16073 R 32505991   4096    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
447634607032   447634607283     501 16073 R 32172775   4096    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
447634608308   447634608790     501 16073 R 32172773   8192    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
447634610101   447634610317     501 16073 W 32172775   4096    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
447634610257   447634610487     501 16073 W 32505991  12288    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
447634892118   447634892361     501 16073 R 25248458   4096    firefox ??/entries/08701E2A0CF34933D224DF912CF30EF103CFE88C
447634892796   447634893056     501 16073 R 32173113   4096    firefox ??/entries/08701E2A0CF34933D224DF912CF30EF103CFE88C
447634892895   447634893129     501 16073 R 25248457   4096    firefox ??/entries/08701E2A0CF34933D224DF912CF30EF103CFE88C
447634896198   447634896344     501 16073 W 32173113   4096    firefox ??/entries/08701E2A0CF34933D224DF912CF30EF103CFE88C
447634896294   447634896442     501 16073 W 25248457   8192    firefox ??/entries/08701E2A0CF34933D224DF912CF30EF103CFE88C
447634941047   447634941352     501 16073 R 18952613   4096    firefox ??/entries/08236C23CFB4116A5BEC9ADD4A987C4FF479CD3F
447634941503   447634941772     501 16073 R 32173034   4096    firefox ??/entries/08236C23CFB4116A5BEC9ADD4A987C4FF479CD3F
447634942220   447634942542     501 16073 R 32173032   8192    firefox ??/entries/08236C23CFB4116A5BEC9ADD4A987C4FF479CD3F
447634942768   447634943027     501 16073 R 18952614   4096    firefox ??/entries/2DBE5934CAFBDA8185F13E7945D419ED83D0D425
447634943176   447634943475     501 16073 R 25244881   8192    firefox ??/entries/D7F34818DAD3ED1C24668C2CAE99A458673AE43B
447634943611   447634943850     501 16073 R 32173037   4096    firefox ??/entries/2DBE5934CAFBDA8185F13E7945D419ED83D0D425
447634944329   447634944623     501 16073 R 32173042   4096    firefox ??/entries/D7F34818DAD3ED1C24668C2CAE99A458673AE43B
