STIME          TIME             UID   PID D    BLOCK   SIZE       COMM PATHNAME
514306809185   514306809335     501 50029 W 52782552   8192    firefox ??/entries/2C33D1C3602135F9E17CDA6067F6750B8BBCEE6D
514306834241   514306834511     501 50029 W 52782554   4096    firefox ??/entries/D0CB92A11F1FB9242B4A0DC718DE7BC798A40547
514306834575   514306834703     501 50029 W 32509214  12288    firefox ??/entries/D0CB92A11F1FB9242B4A0DC718DE7BC798A40547
514306872486   514306872767     501 50029 W 52782555  53248    firefox ??/entries/387E11CD9E4D0266890E16A10DAD30724F993DDD
514306872692   514306872874     501 50029 W 32509256  12288    firefox ??/entries/387E11CD9E4D0266890E16A10DAD30724F993DDD
514306889509   514306889644     501 50029 W 52782568   4096    firefox ??/entries/3C0EFEA8B0F1DCB28CA2353BB5B65D8B09C1B4E6
514306889653   514306889802     501 50029 W 24454327   8192    firefox ??/entries/3C0EFEA8B0F1DCB28CA2353BB5B65D8B09C1B4E6
514306889993   514306890084     501 50029 W 52782569   4096    firefox ??/entries/BCA0512DD33423D6FFA255489A437056A01971F8
514306890099   514306890214     501 50029 W 24454329   8192    firefox ??/entries/BCA0512DD33423D6FFA255489A437056A01971F8
514306905396   514306906381     501 50029 W 52782947 393216    firefox ??/entries/A33B389F51D0F4978F886A4F36E4A9D823320263
514307017962   514307018442     501 50029 R 25980651  36864    firefox ??/z05qnvsv.default/webappsstore.sqlite-wal
514307050663   514307051147     501 50029 R 32505992   8192    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
514307051554   514307051650     501 50029 R 32505991   4096    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
514307051473   514307051758     501 50029 R 32172775   4096    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
514307052489   514307052950     501 50029 R 32172773   8192    firefox ??/entries/2F37FF60EE266307920AF23E35E26F2821054719
514307053882   514307054222     501 50029 R 32514058   8192    firefox ??/entries/CB95CA716F7BCFA5FC39CFFB91E2AAD76A863585
514307054507   514307054589     501 50029 R 32514057   4096    firefox ??/entries/CB95CA716F7BCFA5FC39CFFB91E2AAD76A863585
514307054431   514307054705     501 50029 R 32174149   4096    firefox ??/entries/CB95CA716F7BCFA5FC39CFFB91E2AAD76A863585
514307055348   514307055661     501 50029 R 32174147   8192    firefox ??/entries/CB95CA716F7BCFA5FC39CFFB91E2AAD76A863585
