STIME          TIME             UID   PID D    BLOCK   SIZE       COMM PATHNAME
451852255192   451852255596     501 24798 R 17408404   8192     Safari ??/CombinedFavoritesGridViewController.nib/CombinedFavoritesGridViewController.nib/..namedfork/rsrc
451852269614   451852269962     501 24798 R 19810523  24576     Safari ??/Images/99CD2175108D157588C04758296D1CFC.png
451852309662   451852310092     501 24798 R 31187435  20480     Safari ??/Images/75E0976AAB76EE8B1E6DC192B8BD066E.png
451852311120   451852311451     501 24798 R  7964472   8192     Safari ??/Images/5E715D15EEA6598F01EB7B2555336606.png
451852312223   451852312494     501 24798 R 26181298   4096     Safari ??/Images/6498BB85855FD9F497A28B8654A72D04.png
451852313406   451852313677     501 24798 R 34439442   8192     Safari ??/Images/114A6C55D97ECF773753311EEF3E3A2D.png
451852314355   451852314573     501 24798 R 31818293   4096     Safari ??/Images/FE15178248B3B214801C7143EB468167.png
451852315406   451852315668     501 24798 R 47300703   4096     Safari ??/Images/96C849B03AEFAF7EF9D30158754F0019.png
451852316333   451852316546     501 24798 R 26181223   4096     Safari ??/Images/57128A651A4AEBAF10852E7043A2522F.png
451852317055   451852317323     501 24798 R 32521512  12288     Safari ??/Images/07871D5393AB4F34FCA5EAA21BDC71AA.png
451852318018   451852318391     501 24798 R 53549815  20480     Safari ??/Images/012EE55FD4B63B051507A1958F2410E5.png
451852319033   451852319277     501 24798 R 55362238   4096     Safari ??/Images/AEF7809697DD382E694B424D2560B04D.png
451852319834   451852320081     501 24798 R 26614953   8192     Safari ??/Images/6250F54A77AA563C4C8F56CBA4C792D7.png
451852320844   451852321120     501 24798 R 46746180   8192     Safari ??/Images/0A137B375CC3881A70E186CE2172C8D1.png
451852321950   451852322183     501 24798 R 22393992   4096     Safari ??/Images/714D3D9A432F112988EBB3B885751FBD.png
451852322744   451852322943     501 24798 R 40129888   4096     Safari ??/Images/0D4B5B80C281851A926849DFF33D961B.png
451852323579   451852323771     501 24798 R 29226882   4096     Safari ??/Images/3992018492EEFBAC137AF7F61CF617A3.png
451852404200   451852404696     501 24798 R 59120585   8192     Safari ??/Contents/Info.plist
451852987688   451852987934     501 24798 R 25231582   4096     Safari ??/Favicon_Cache/favicons.db
451853005687   451853005902     501 24798 R 49229585   4096     Safari ??/GeoServices/Experiments.pbd
451853007694   451853007961     501 24798 R 57070900   4096     Safari ??/GeoServices/networkDefaults.plist
451853027780   451853028022     501 24798 R 43211142   4096     Safari ??/Favicon_Cache/favicons.db
451853068250   451853068520     501 24798 R 39706062   4096     Safari ??/Favicon_Cache/favicons.db
451853274838   451853275409     501 24798 R 39706051   4096     Safari ??/Favicon_Cache/favicons.db
451853319732   451853320021     501 24798 R 25251214   4096     Safari ??/Favicon_Cache/favicons.db
451853320115   451853320346     501 24798 R 59258203   4096     Safari ??/Favicon_Cache/favicons.db
451853320907   451853321160     501 24798 R 34429690   8192     Safari ??/favicons/4105606AC293900FD92E7C917A0C6C3A
451853728853   451853729060     501 24798 R 51440529   4096     Safari ??/tokruleLE.data/tokruleLE.data/..namedfork/rsrc
451854312521   451854312797     501 24798 R 33290149   4096     Safari ??/Touch_Icons_Cache/TouchIconCacheSettings.db-wal
451854805423   451854805721     501 24798 R 40653937   8192     Safari ??/Intel_HD_Graphics_4000/functions.data
451854805486   451854805750     501 24798 R 40659318   8192     Safari ??/Intel_HD_Graphics_4000/functions.data
451854805856   451854806130     501 24798 R 40653935   8192     Safari ??/Intel_HD_Graphics_4000/functions.data
451854806343   451854806639     501 24798 R 40659320   8192     Safari ??/Intel_HD_Graphics_4000/functions.data
451854809174   451854809426     501 24798 R 32521321   4096     Safari ??/Safari/CloudAutoFillCorrections.db
451854849968   451854850297     501 24798 R 18595908   4096     Safari ??/Safari/CloudAutoFillCorrections.db
451854890433   451854890756     501 24798 R 39706049   4096     Safari ??/Favicon_Cache/favicons.db
451854890433   451854890770     501 24798 R 18599551   4096     Safari ??/Safari/CloudAutoFillCorrections.db
451854890861   451854891139     501 24798 R 51102324   4096     Safari ??/Favicon_Cache/favicons.db
451856400265   451856400404     501 24798 W 33302204   4096     Safari ??/Images/C0169FC5888AEE1B5AA704694CAD7F3F.png.sb-3c78ba9e-78Dkwj
451856921746   451856922146     501 24798 R  3908277   4096     Safari ??/Contents/Info.plist
451856922437   451856922781     501 24798 R  5826232   4096     Safari ??/MacOS/npalicdo
451856922901   451856923265     501 24798 R  5826233   4096     Safari ??/MacOS/npalicdo
451856923614   451856923888     501 24798 R  5827954   4096     Safari ??/en.lproj/InfoPlist.strings
451856924282   451856924608     501 24798 R 17248431   4096     Safari ??/Contents/Info.plist
451856924896   451856925288     501 24798 R 17248432   4096     Safari ??/MacOS/ZoomUsPlugIn
